日付,ゲームタイプ,球団,ホーム・ビジター,スコア,対戦球団,GameID
2026-04-26,公式戦,オリックス,ホーム,9,日本ハム,NPB20260426BF05
2026-04-26,公式戦,日本ハム,ビジター,4,オリックス,NPB20260426BF05
2026-04-26,公式戦,中日,ホーム,3,ヤクルト,NPB20260426CDYS02
2026-04-26,公式戦,ヤクルト,ビジター,0,中日,NPB20260426CDYS02
2026-04-26,公式戦,DeNA,ホーム,1,巨人,NPB20260426DBYG01
2026-04-26,公式戦,巨人,ビジター,4,DeNA,NPB20260426DBYG01
2026-04-26,公式戦,楽天,ホーム,0,西武,NPB20260426EL04
2026-04-26,公式戦,西武,ビジター,3,楽天,NPB20260426EL04
2026-04-26,公式戦,阪神,ホーム,1,広島,NPB20260426HTHC03
2026-04-26,公式戦,広島,ビジター,0,阪神,NPB20260426HTHC03
2026-04-28,公式戦,オリックス,ホーム,1,ソフトバンク,NPB20260428BSH06
2026-04-28,公式戦,ソフトバンク,ビジター,7,オリックス,NPB20260428BSH06
2026-04-28,公式戦,中日,ホーム,3,DeNA,NPB20260428CDDB03
2026-04-28,公式戦,DeNA,ビジター,0,中日,NPB20260428CDDB03
2026-04-28,公式戦,西武,ホーム,1,日本ハム,NPB20260428LF04
2026-04-28,公式戦,日本ハム,ビジター,2,西武,NPB20260428LF04
2026-04-28,公式戦,ロッテ,ホーム,3,楽天,NPB20260428ME05
2026-04-28,公式戦,楽天,ビジター,1,ロッテ,NPB20260428ME05
2026-04-28,公式戦,巨人,ホーム,1,広島,NPB20260428YGHC01
2026-04-28,公式戦,広島,ビジター,11,巨人,NPB20260428YGHC01
2026-04-28,公式戦,ヤクルト,ホーム,10,阪神,NPB20260428YSHT02
2026-04-28,公式戦,阪神,ビジター,5,ヤクルト,NPB20260428YSHT02
2026-04-29,公式戦,オリックス,ホーム,5,ソフトバンク,NPB20260429BSH06
2026-04-29,公式戦,ソフトバンク,ビジター,4,オリックス,NPB20260429BSH06
2026-04-29,公式戦,中日,ホーム,2,DeNA,NPB20260429CDDB03
2026-04-29,公式戦,DeNA,ビジター,4,中日,NPB20260429CDDB03
2026-04-29,公式戦,西武,ホーム,3,日本ハム,NPB20260429LF04
2026-04-29,公式戦,日本ハム,ビジター,0,西武,NPB20260429LF04
2026-04-29,公式戦,ロッテ,ホーム,5,楽天,NPB20260429ME05
2026-04-29,公式戦,楽天,ビジター,3,ロッテ,NPB20260429ME05
2026-04-29,公式戦,巨人,ホーム,4,広島,NPB20260429YGHC01
2026-04-29,公式戦,広島,ビジター,2,巨人,NPB20260429YGHC01
2026-04-29,公式戦,ヤクルト,ホーム,0,阪神,NPB20260429YSHT02
2026-04-29,公式戦,阪神,ビジター,2,ヤクルト,NPB20260429YSHT02
2026-04-30,公式戦,中日,ホーム,2,DeNA,NPB20260430CDDB03
2026-04-30,公式戦,DeNA,ビジター,6,中日,NPB20260430CDDB03
2026-04-30,公式戦,西武,ホーム,2,日本ハム,NPB20260430LF04
2026-04-30,公式戦,日本ハム,ビジター,3,西武,NPB20260430LF04
2026-04-30,公式戦,巨人,ホーム,2,広島,NPB20260430YGHC01
2026-04-30,公式戦,広島,ビジター,3,巨人,NPB20260430YGHC01
2026-04-30,公式戦,ヤクルト,ホーム,2,阪神,NPB20260430YSHT02
2026-04-30,公式戦,阪神,ビジター,10,ヤクルト,NPB20260430YSHT02
2026-05-01,公式戦,日本ハム,ホーム,5,オリックス,NPB20260501FB04
2026-05-01,公式戦,オリックス,ビジター,1,日本ハム,NPB20260501FB04
2026-05-01,公式戦,広島,ホーム,7,中日,NPB20260501HCCD03
2026-05-01,公式戦,中日,ビジター,3,広島,NPB20260501HCCD03
2026-05-01,公式戦,阪神,ホーム,3,巨人,NPB20260501HTYG02
2026-05-01,公式戦,巨人,ビジター,5,阪神,NPB20260501HTYG02
2026-05-01,公式戦,ロッテ,ホーム,0,西武,NPB20260501ML05
2026-05-01,公式戦,西武,ビジター,10,ロッテ,NPB20260501ML05
2026-05-01,公式戦,ソフトバンク,ホーム,4,楽天,NPB20260501SHE06
2026-05-01,公式戦,楽天,ビジター,1,ソフトバンク,NPB20260501SHE06
2026-05-01,公式戦,ヤクルト,ホーム,16,DeNA,NPB20260501YSDB01
2026-05-01,公式戦,DeNA,ビジター,5,ヤクルト,NPB20260501YSDB01
2026-05-02,公式戦,日本ハム,ホーム,9,オリックス,NPB20260502FB04
2026-05-02,公式戦,オリックス,ビジター,10,日本ハム,NPB20260502FB04
2026-05-02,公式戦,広島,ホーム,0,中日,NPB20260502HCCD03
2026-05-02,公式戦,中日,ビジター,4,広島,NPB20260502HCCD03
2026-05-02,公式戦,阪神,ホーム,7,巨人,NPB20260502HTYG02
2026-05-02,公式戦,巨人,ビジター,5,阪神,NPB20260502HTYG02
2026-05-02,公式戦,ロッテ,ホーム,4,西武,NPB20260502ML05
2026-05-02,公式戦,西武,ビジター,5,ロッテ,NPB20260502ML05
2026-05-02,公式戦,ソフトバンク,ホーム,5,楽天,NPB20260502SHE06
2026-05-02,公式戦,楽天,ビジター,0,ソフトバンク,NPB20260502SHE06
2026-05-02,公式戦,ヤクルト,ホーム,6,DeNA,NPB20260502YSDB01
2026-05-02,公式戦,DeNA,ビジター,5,ヤクルト,NPB20260502YSDB01
2026-05-03,公式戦,日本ハム,ホーム,3,オリックス,NPB20260503FB03
2026-05-03,公式戦,オリックス,ビジター,0,日本ハム,NPB20260503FB03
2026-05-03,公式戦,阪神,ホーム,3,巨人,NPB20260503HTYG02
2026-05-03,公式戦,巨人,ビジター,0,阪神,NPB20260503HTYG02
2026-05-03,公式戦,ロッテ,ホーム,10,西武,NPB20260503ML04
2026-05-03,公式戦,西武,ビジター,0,ロッテ,NPB20260503ML04
2026-05-03,公式戦,ソフトバンク,ホーム,0,楽天,NPB20260503SHE05
2026-05-03,公式戦,楽天,ビジター,7,ソフトバンク,NPB20260503SHE05
2026-05-03,公式戦,ヤクルト,ホーム,2,DeNA,NPB20260503YSDB01
2026-05-03,公式戦,DeNA,ビジター,12,ヤクルト,NPB20260503YSDB01
2026-05-04,公式戦,オリックス,ホーム,3,ロッテ,NPB20260504BM06
2026-05-04,公式戦,ロッテ,ビジター,0,オリックス,NPB20260504BM06
2026-05-04,公式戦,中日,ホーム,7,阪神,NPB20260504CDHT03
2026-05-04,公式戦,阪神,ビジター,3,中日,NPB20260504CDHT03
2026-05-04,公式戦,DeNA,ホーム,11,広島,NPB20260504DBHC02
2026-05-04,公式戦,広島,ビジター,8,DeNA,NPB20260504DBHC02
2026-05-04,公式戦,楽天,ホーム,3,日本ハム,NPB20260504EF04
2026-05-04,公式戦,日本ハム,ビジター,1,楽天,NPB20260504EF04
2026-05-04,公式戦,西武,ホーム,10,ソフトバンク,NPB20260504LSH05
2026-05-04,公式戦,ソフトバンク,ビジター,2,西武,NPB20260504LSH05
2026-05-04,公式戦,巨人,ホーム,1,ヤクルト,NPB20260504YGYS01
2026-05-04,公式戦,ヤクルト,ビジター,5,巨人,NPB20260504YGYS01
2026-05-05,公式戦,オリックス,ホーム,6,ロッテ,NPB20260505BM06
2026-05-05,公式戦,ロッテ,ビジター,1,オリックス,NPB20260505BM06
2026-05-05,公式戦,中日,ホーム,7,阪神,NPB20260505CDHT03
2026-05-05,公式戦,阪神,ビジター,3,中日,NPB20260505CDHT03
2026-05-05,公式戦,DeNA,ホーム,5,広島,NPB20260505DBHC02
2026-05-05,公式戦,広島,ビジター,5,DeNA,NPB20260505DBHC02
2026-05-05,公式戦,楽天,ホーム,3,日本ハム,NPB20260505EF04
2026-05-05,公式戦,日本ハム,ビジター,2,楽天,NPB20260505EF04
2026-05-05,公式戦,西武,ホーム,4,ソフトバンク,NPB20260505LSH05
2026-05-05,公式戦,ソフトバンク,ビジター,6,西武,NPB20260505LSH05
2026-05-05,公式戦,巨人,ホーム,3,ヤクルト,NPB20260505YGYS01
2026-05-05,公式戦,ヤクルト,ビジター,2,巨人,NPB20260505YGYS01
2026-05-06,公式戦,オリックス,ホーム,3,ロッテ,NPB20260506BM06
2026-05-06,公式戦,ロッテ,ビジター,0,オリックス,NPB20260506BM06
2026-05-06,公式戦,中日,ホーム,0,阪神,NPB20260506CDHT03
2026-05-06,公式戦,阪神,ビジター,2,中日,NPB20260506CDHT03
2026-05-06,公式戦,DeNA,ホーム,0,広島,NPB20260506DBHC02
2026-05-06,公式戦,広島,ビジター,10,DeNA,NPB20260506DBHC02
2026-05-06,公式戦,楽天,ホーム,2,日本ハム,NPB20260506EF04
2026-05-06,公式戦,日本ハム,ビジター,12,楽天,NPB20260506EF04
2026-05-06,公式戦,西武,ホーム,10,ソフトバンク,NPB20260506LSH05
2026-05-06,公式戦,ソフトバンク,ビジター,2,西武,NPB20260506LSH05
2026-05-06,公式戦,巨人,ホーム,0,ヤクルト,NPB20260506YGYS01
2026-05-06,公式戦,ヤクルト,ビジター,5,巨人,NPB20260506YGYS01
2026-05-08,公式戦,オリックス,ホーム,4,日本ハム,NPB20260508BF05
2026-05-08,公式戦,日本ハム,ビジター,3,オリックス,NPB20260508BF05
2026-05-08,公式戦,中日,ホーム,9,巨人,NPB20260508CDYG01
2026-05-08,公式戦,巨人,ビジター,2,中日,NPB20260508CDYG01
2026-05-08,公式戦,広島,ホーム,1,ヤクルト,NPB20260508HCYS03
2026-05-08,公式戦,ヤクルト,ビジター,4,広島,NPB20260508HCYS03
2026-05-08,公式戦,阪神,ホーム,1,DeNA,NPB20260508HTDB02
2026-05-08,公式戦,DeNA,ビジター,10,阪神,NPB20260508HTDB02
2026-05-08,公式戦,西武,ホーム,4,楽天,NPB20260508LE04
2026-05-08,公式戦,楽天,ビジター,2,西武,NPB20260508LE04
2026-05-08,公式戦,ソフトバンク,ホーム,6,ロッテ,NPB20260508SHM06
2026-05-08,公式戦,ロッテ,ビジター,5,ソフトバンク,NPB20260508SHM06
2026-05-09,公式戦,オリックス,ホーム,0,日本ハム,NPB20260509BF05
2026-05-09,公式戦,日本ハム,ビジター,3,オリックス,NPB20260509BF05
2026-05-09,公式戦,中日,ホーム,4,巨人,NPB20260509CDYG01
2026-05-09,公式戦,巨人,ビジター,2,中日,NPB20260509CDYG01
2026-05-09,公式戦,広島,ホーム,0,ヤクルト,NPB20260509HCYS03
2026-05-09,公式戦,ヤクルト,ビジター,4,広島,NPB20260509HCYS03
2026-05-09,公式戦,阪神,ホーム,1,DeNA,NPB20260509HTDB02
2026-05-09,公式戦,DeNA,ビジター,3,阪神,NPB20260509HTDB02
2026-05-09,公式戦,西武,ホーム,6,楽天,NPB20260509LE04
2026-05-09,公式戦,楽天,ビジター,2,西武,NPB20260509LE04
2026-05-09,公式戦,ソフトバンク,ホーム,4,ロッテ,NPB20260509SHM06
2026-05-09,公式戦,ロッテ,ビジター,5,ソフトバンク,NPB20260509SHM06
2026-05-10,公式戦,オリックス,ホーム,0,日本ハム,NPB20260510BF05
2026-05-10,公式戦,日本ハム,ビジター,2,オリックス,NPB20260510BF05
2026-05-10,公式戦,中日,ホーム,4,巨人,NPB20260510CDYG01
2026-05-10,公式戦,巨人,ビジター,9,中日,NPB20260510CDYG01
2026-05-10,公式戦,広島,ホーム,4,ヤクルト,NPB20260510HCYS03
2026-05-10,公式戦,ヤクルト,ビジター,0,広島,NPB20260510HCYS03
2026-05-10,公式戦,阪神,ホーム,3,DeNA,NPB20260510HTDB02
2026-05-10,公式戦,DeNA,ビジター,0,阪神,NPB20260510HTDB02
2026-05-10,公式戦,西武,ホーム,6,楽天,NPB20260510LE04
2026-05-10,公式戦,楽天,ビジター,1,西武,NPB20260510LE04
2026-05-10,公式戦,ソフトバンク,ホーム,8,ロッテ,NPB20260510SHM06
2026-05-10,公式戦,ロッテ,ビジター,3,ソフトバンク,NPB20260510SHM06
2026-05-12,公式戦,DeNA,ホーム,3,中日,NPB20260512DBCD03
2026-05-12,公式戦,中日,ビジター,1,DeNA,NPB20260512DBCD03
2026-05-12,公式戦,楽天,ホーム,0,オリックス,NPB20260512EB04
2026-05-12,公式戦,オリックス,ビジター,2,楽天,NPB20260512EB04
2026-05-12,公式戦,ロッテ,ホーム,2,日本ハム,NPB20260512MF05
2026-05-12,公式戦,日本ハム,ビジター,3,ロッテ,NPB20260512MF05
2026-05-12,公式戦,ソフトバンク,ホーム,0,西武,NPB20260512SHL06
2026-05-12,公式戦,西武,ビジター,3,ソフトバンク,NPB20260512SHL06
2026-05-12,公式戦,巨人,ホーム,5,広島,NPB20260512YGHC01
2026-05-12,公式戦,広島,ビジター,3,巨人,NPB20260512YGHC01
2026-05-12,公式戦,ヤクルト,ホーム,0,阪神,NPB20260512YSHT02
2026-05-12,公式戦,阪神,ビジター,10,ヤクルト,NPB20260512YSHT02
2026-05-13,公式戦,DeNA,ホーム,5,中日,NPB20260513DBCD03
2026-05-13,公式戦,中日,ビジター,0,DeNA,NPB20260513DBCD03
2026-05-13,公式戦,ロッテ,ホーム,2,日本ハム,NPB20260513MF04
2026-05-13,公式戦,日本ハム,ビジター,6,ロッテ,NPB20260513MF04
2026-05-13,公式戦,ソフトバンク,ホーム,1,西武,NPB20260513SHL05
2026-05-13,公式戦,西武,ビジター,2,ソフトバンク,NPB20260513SHL05
2026-05-13,公式戦,巨人,ホーム,4,広島,NPB20260513YGHC01
2026-05-13,公式戦,広島,ビジター,2,巨人,NPB20260513YGHC01
2026-05-13,公式戦,ヤクルト,ホーム,4,阪神,NPB20260513YSHT02
2026-05-13,公式戦,阪神,ビジター,2,ヤクルト,NPB20260513YSHT02
2026-05-14,公式戦,DeNA,ホーム,0,中日,NPB20260514DBCD01
2026-05-14,公式戦,中日,ビジター,0,DeNA,NPB20260514DBCD01
2026-05-14,公式戦,楽天,ホーム,3,オリックス,NPB20260514EB02
2026-05-14,公式戦,オリックス,ビジター,0,楽天,NPB20260514EB02
2026-05-14,公式戦,ロッテ,ホーム,5,日本ハム,NPB20260514MF03
2026-05-14,公式戦,日本ハム,ビジター,3,ロッテ,NPB20260514MF03
2026-05-15,公式戦,中日,ホーム,5,ヤクルト,NPB20260515CDYS02
2026-05-15,公式戦,ヤクルト,ビジター,8,中日,NPB20260515CDYS02
2026-05-15,公式戦,楽天,ホーム,6,ソフトバンク,NPB20260515ESH05
2026-05-15,公式戦,ソフトバンク,ビジター,3,楽天,NPB20260515ESH05
2026-05-15,公式戦,日本ハム,ホーム,0,西武,NPB20260515FL04
2026-05-15,公式戦,西武,ビジター,3,日本ハム,NPB20260515FL04
2026-05-15,公式戦,阪神,ホーム,0,広島,NPB20260515HTHC03
2026-05-15,公式戦,広島,ビジター,2,阪神,NPB20260515HTHC03
2026-05-15,公式戦,ロッテ,ホーム,6,オリックス,NPB20260515MB06
2026-05-15,公式戦,オリックス,ビジター,3,ロッテ,NPB20260515MB06
2026-05-15,公式戦,巨人,ホーム,2,DeNA,NPB20260515YGDB01
2026-05-15,公式戦,DeNA,ビジター,0,巨人,NPB20260515YGDB01
2026-05-16,公式戦,中日,ホーム,8,ヤクルト,NPB20260516CDYS02
2026-05-16,公式戦,ヤクルト,ビジター,0,中日,NPB20260516CDYS02
2026-05-16,公式戦,楽天,ホーム,4,ソフトバンク,NPB20260516ESH05
2026-05-16,公式戦,ソフトバンク,ビジター,3,楽天,NPB20260516ESH05
2026-05-16,公式戦,日本ハム,ホーム,5,西武,NPB20260516FL04
2026-05-16,公式戦,西武,ビジター,4,日本ハム,NPB20260516FL04
2026-05-16,公式戦,阪神,ホーム,3,広島,NPB20260516HTHC03
2026-05-16,公式戦,広島,ビジター,1,阪神,NPB20260516HTHC03
2026-05-16,公式戦,ロッテ,ホーム,2,オリックス,NPB20260516MB06
2026-05-16,公式戦,オリックス,ビジター,0,ロッテ,NPB20260516MB06
2026-05-16,公式戦,巨人,ホーム,4,DeNA,NPB20260516YGDB01
2026-05-16,公式戦,DeNA,ビジター,3,巨人,NPB20260516YGDB01
2026-05-17,公式戦,中日,ホーム,1,ヤクルト,NPB20260517CDYS02
2026-05-17,公式戦,ヤクルト,ビジター,5,中日,NPB20260517CDYS02
2026-05-17,公式戦,楽天,ホーム,1,ソフトバンク,NPB20260517ESH05
2026-05-17,公式戦,ソフトバンク,ビジター,5,楽天,NPB20260517ESH05
2026-05-17,公式戦,日本ハム,ホーム,3,西武,NPB20260517FL04
2026-05-17,公式戦,西武,ビジター,6,日本ハム,NPB20260517FL04
2026-05-17,公式戦,阪神,ホーム,0,広島,NPB20260517HTHC03
2026-05-17,公式戦,広島,ビジター,1,阪神,NPB20260517HTHC03
2026-05-17,公式戦,ロッテ,ホーム,3,オリックス,NPB20260517MB06
2026-05-17,公式戦,オリックス,ビジター,2,ロッテ,NPB20260517MB06
2026-05-17,公式戦,巨人,ホーム,1,DeNA,NPB20260517YGDB01
2026-05-17,公式戦,DeNA,ビジター,0,巨人,NPB20260517YGDB01
2026-05-19,公式戦,オリックス,ホーム,2,ソフトバンク,NPB20260519BSH06
2026-05-19,公式戦,ソフトバンク,ビジター,1,オリックス,NPB20260519BSH06
2026-05-19,公式戦,日本ハム,ホーム,6,楽天,NPB20260519FE04
2026-05-19,公式戦,楽天,ビジター,2,日本ハム,NPB20260519FE04
2026-05-19,公式戦,広島,ホーム,3,DeNA,NPB20260519HCDB03
2026-05-19,公式戦,DeNA,ビジター,1,広島,NPB20260519HCDB03
2026-05-19,公式戦,阪神,ホーム,4,中日,NPB20260519HTCD02
2026-05-19,公式戦,中日,ビジター,2,阪神,NPB20260519HTCD02
2026-05-19,公式戦,西武,ホーム,3,ロッテ,NPB20260519LM05
2026-05-19,公式戦,ロッテ,ビジター,2,西武,NPB20260519LM05
2026-05-19,公式戦,ヤクルト,ホーム,0,巨人,NPB20260519YSYG01
2026-05-19,公式戦,巨人,ビジター,2,ヤクルト,NPB20260519YSYG01
2026-05-20,公式戦,オリックス,ホーム,8,ソフトバンク,NPB20260520BSH05
2026-05-20,公式戦,ソフトバンク,ビジター,3,オリックス,NPB20260520BSH05
2026-05-20,公式戦,日本ハム,ホーム,5,楽天,NPB20260520FE03
2026-05-20,公式戦,楽天,ビジター,3,日本ハム,NPB20260520FE03
2026-05-20,公式戦,広島,ホーム,3,DeNA,NPB20260520HCDB02
2026-05-20,公式戦,DeNA,ビジター,4,広島,NPB20260520HCDB02
2026-05-20,公式戦,阪神,ホーム,8,中日,NPB20260520HTCD01
2026-05-20,公式戦,中日,ビジター,7,阪神,NPB20260520HTCD01
2026-05-20,公式戦,西武,ホーム,1,ロッテ,NPB20260520LM04
2026-05-20,公式戦,ロッテ,ビジター,3,西武,NPB20260520LM04
2026-05-21,公式戦,広島,ホーム,3,DeNA,NPB20260521HCDB02
2026-05-21,公式戦,DeNA,ビジター,1,広島,NPB20260521HCDB02
2026-05-21,公式戦,ヤクルト,ホーム,3,巨人,NPB20260521YSYG01
2026-05-21,公式戦,巨人,ビジター,1,ヤクルト,NPB20260521YSYG01
2026-05-22,公式戦,中日,ホーム,6,広島,NPB20260522CDHC02
2026-05-22,公式戦,広島,ビジター,2,中日,NPB20260522CDHC02
2026-05-22,公式戦,楽天,ホーム,1,ロッテ,NPB20260522EM03
2026-05-22,公式戦,ロッテ,ビジター,2,楽天,NPB20260522EM03
2026-05-22,公式戦,西武,ホーム,1,オリックス,NPB20260522LB04
2026-05-22,公式戦,オリックス,ビジター,5,西武,NPB20260522LB04
2026-05-22,公式戦,ソフトバンク,ホーム,10,日本ハム,NPB20260522SHF05
2026-05-22,公式戦,日本ハム,ビジター,0,ソフトバンク,NPB20260522SHF05
2026-05-22,公式戦,巨人,ホーム,4,阪神,NPB20260522YGHT01
2026-05-22,公式戦,阪神,ビジター,7,巨人,NPB20260522YGHT01
2026-05-23,公式戦,中日,ホーム,3,広島,NPB20260523CDHC03
2026-05-23,公式戦,広島,ビジター,5,中日,NPB20260523CDHC03
2026-05-23,公式戦,DeNA,ホーム,0,ヤクルト,NPB20260523DBYS02
2026-05-23,公式戦,ヤクルト,ビジター,6,DeNA,NPB20260523DBYS02
2026-05-23,公式戦,楽天,ホーム,6,ロッテ,NPB20260523EM04
2026-05-23,公式戦,ロッテ,ビジター,7,楽天,NPB20260523EM04
2026-05-23,公式戦,西武,ホーム,4,オリックス,NPB20260523LB05
2026-05-23,公式戦,オリックス,ビジター,1,西武,NPB20260523LB05
2026-05-23,公式戦,ソフトバンク,ホーム,11,日本ハム,NPB20260523SHF06
2026-05-23,公式戦,日本ハム,ビジター,1,ソフトバンク,NPB20260523SHF06
2026-05-23,公式戦,巨人,ホーム,0,阪神,NPB20260523YGHT01
2026-05-23,公式戦,阪神,ビジター,3,巨人,NPB20260523YGHT01
2026-05-24,公式戦,中日,ホーム,3,広島,NPB20260524CDHC03
2026-05-24,公式戦,広島,ビジター,5,中日,NPB20260524CDHC03
2026-05-24,公式戦,DeNA,ホーム,1,ヤクルト,NPB20260524DBYS02
2026-05-24,公式戦,ヤクルト,ビジター,0,DeNA,NPB20260524DBYS02
2026-05-24,公式戦,楽天,ホーム,8,ロッテ,NPB20260524EM04
2026-05-24,公式戦,ロッテ,ビジター,5,楽天,NPB20260524EM04
2026-05-24,公式戦,西武,ホーム,4,オリックス,NPB20260524LB05
2026-05-24,公式戦,オリックス,ビジター,3,西武,NPB20260524LB05
2026-05-24,公式戦,ソフトバンク,ホーム,7,日本ハム,NPB20260524SHF06
2026-05-24,公式戦,日本ハム,ビジター,6,ソフトバンク,NPB20260524SHF06
2026-05-24,公式戦,巨人,ホーム,3,阪神,NPB20260524YGHT01
2026-05-24,公式戦,阪神,ビジター,6,巨人,NPB20260524YGHT01
2026-05-26,公式戦,中日,ホーム,1,楽天,NPB20260526CDE04
2026-05-26,公式戦,楽天,ビジター,0,中日,NPB20260526CDE04
2026-05-26,公式戦,DeNA,ホーム,1,オリックス,NPB20260526DBB03
2026-05-26,公式戦,オリックス,ビジター,7,DeNA,NPB20260526DBB03
2026-05-26,公式戦,広島,ホーム,1,ロッテ,NPB20260526HCM06
2026-05-26,公式戦,ロッテ,ビジター,3,広島,NPB20260526HCM06
2026-05-26,公式戦,阪神,ホーム,0,日本ハム,NPB20260526HTF05
2026-05-26,公式戦,日本ハム,ビジター,4,阪神,NPB20260526HTF05
2026-05-26,公式戦,巨人,ホーム,3,ソフトバンク,NPB20260526YGSH01
2026-05-26,公式戦,ソフトバンク,ビジター,8,巨人,NPB20260526YGSH01
2026-05-26,公式戦,ヤクルト,ホーム,1,西武,NPB20260526YSL02
